room_id,host_id,room_type,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,last_modified
1336218,7245982,Entire home/apt,Centrum Oost,35,4.5,4,3,539,12/28/16
9554582,49475014,Entire home/apt,Centrum West,5,5,8,4,700,12/28/16
9840461,17957337,Entire home/apt,Centrum West,1,0,7,3,534,12/28/16
4699714,24294513,Entire home/apt,Westerpark,23,4.5,16,6,587,12/28/16
14302175,87366858,Entire home/apt,Noord West,0,0,1,2,567,12/28/16
13489889,52235587,Entire home/apt,Bos en Lommer,5,4,6,3,646,12/28/16
14272300,87020528,Entire home/apt,De Baarsjes / Oud West,0,0,8,5,592,12/28/16
7871143,1826139,Entire home/apt,Centrum West,3,4.5,12,5,646,12/28/16
10430700,8558897,Entire home/apt,Centrum West,3,5,8,4,565,12/28/16
9834151,47819385,Entire home/apt,Slotervaart,8,5,6,3,534,12/28/16
12596838,68338234,Entire home/apt,Centrum West,8,4,15,4,645,12/28/16
4169622,1799450,Entire home/apt,Centrum Oost,3,4.5,4,2,700,12/28/16
6340512,29574069,Entire home/apt,Oostelijk Havengebied / Indische Buurt,0,0,16,10,689,12/28/16
12374567,25525431,Entire home/apt,Noord-West / Noord-Midden,4,5,6,3,646,12/28/16
9020907,19122863,Entire home/apt,De Baarsjes / Oud West,0,0,3,2,539,12/28/16
15801244,102209064,Entire home/apt,Oud Noord,1,0,16,6,592,12/28/16
6816936,35688010,Entire home/apt,De Pijp / Rivierenbuurt,8,5,6,4,538,12/28/16
12705773,41734914,Entire home/apt,Noord-West / Noord-Midden,0,0,4,2,592,12/28/16
9834680,22678829,Entire home/apt,De Pijp / Rivierenbuurt,1,0,6,3,534,12/28/16
16458731,30515900,Entire home/apt,Oud Oost,0,0,8,4,591,12/28/16
6790875,20677143,Entire home/apt,Noord-West / Noord-Midden,14,4.5,6,3,527,12/28/16
8006682,10938059,Entire home/apt,De Baarsjes / Oud West,7,4.5,10,6,539,12/28/16
15369683,52235587,Entire home/apt,Bos en Lommer,4,4,5,2,539,12/28/16
11367985,51988897,Entire home/apt,Centrum West,1,0,4,4,539,12/28/16
10764986,7361355,Entire home/apt,Centrum West,1,0,4,3,539,12/28/16
12394757,7181185,Entire home/apt,De Pijp / Rivierenbuurt,7,5,4,4,548,12/28/16
16330665,13338413,Entire home/apt,De Baarsjes / Oud West,0,0,8,3,624,12/28/16
13406951,71353079,Entire home/apt,Noord-West / Noord-Midden,2,0,8,5,700,12/28/16
5860147,11601106,Entire home/apt,De Pijp / Rivierenbuurt,45,4.5,9,3,700,12/28/16
5321098,27530525,Entire home/apt,Centrum West,48,4.5,8,3,711,12/28/16
12387233,2939910,Entire home/apt,Noord Oost,0,0,3,2,549,12/28/16
2026455,10409807,Entire home/apt,Oostelijk Havengebied / Indische Buurt,25,5,16,9,562,12/28/16
12863494,48703385,Entire home/apt,Noord-West / Noord-Midden,3,5,4,2,700,12/28/16
13524840,22572246,Entire home/apt,Noord-West / Noord-Midden,10,5,4,3,522,12/28/16
13501701,77448253,Entire home/apt,Noord-West / Noord-Midden,5,5,4,4,539,12/28/16
13968358,83269288,Entire home/apt,Centrum West,2,0,8,5,700,12/28/16
156815,753530,Entire home/apt,Oud Noord,13,4.5,16,10,641,12/28/16
13357980,74116713,Entire home/apt,Noord-West / Noord-Midden,2,0,8,4,700,12/28/16
7969191,26045647,Entire home/apt,Centrum Oost,8,5,8,4,646,12/28/16
16348389,13338413,Entire home/apt,De Baarsjes / Oud West,0,0,8,3,592,12/28/16
12139525,4652697,Entire home/apt,Noord-West / Noord-Midden,4,5,9,4,534,12/28/16
3736952,6999042,Entire home/apt,Centrum West,0,0,4,2,539,12/28/16
510836,1826139,Entire home/apt,Centrum West,97,5,4,5,539,12/28/16
7239806,15709424,Entire home/apt,Centrum West,8,4.5,8,4,592,12/28/16
305200,1135329,Entire home/apt,Centrum West,1,0,4,2,592,12/28/16
15304003,1791317,Entire home/apt,Centrum Oost,3,5,4,3,603,12/28/16
9104050,35376227,Entire home/apt,Centrum West,2,0,4,3,603,12/28/16
6067428,31495460,Entire home/apt,Centrum Oost,25,5,4,3,539,12/28/16
14032886,2614782,Entire home/apt,Centrum West,1,0,4,4,619,12/28/16
14295225,55648788,Entire home/apt,Centrum West,3,4,4,2,646,12/28/16
10901265,48703385,Entire home/apt,Centrum West,11,4.5,2,1,592,12/28/16
793425,140224,Entire home/apt,De Aker / Nieuw Sloten,27,4,16,3,431,12/28/16
3983479,20647485,Entire home/apt,De Aker / Nieuw Sloten,7,4.5,6,3,323,12/28/16
7648605,29783774,Entire home/apt,De Baarsjes / Oud West,1,0,4,3,484,12/28/16
5818567,29561840,Entire home/apt,De Aker / Nieuw Sloten,0,0,4,2,323,12/28/16
6841884,27257605,Entire home/apt,De Baarsjes / Oud West,6,4.5,4,2,345,12/28/16
1454938,6936982,Entire home/apt,Noord-West / Noord-Midden,10,4.5,4,4,312,12/28/16
2273399,11606810,Entire home/apt,Noord-West / Noord-Midden,5,5,8,4,323,12/28/16
7296963,38219553,Entire home/apt,Noord-West / Noord-Midden,17,5,6,2,323,12/28/16
10029409,8558897,Entire home/apt,Centrum Oost,1,0,4,2,323,12/28/16
9991270,11508858,Entire home/apt,De Pijp / Rivierenbuurt,1,0,8,4,387,12/28/16
